Player,Country,Rating
"Aaberg,Anton",SWE,2265
"Aagaard,Jacob",DEN,2275
"Aarland, Stein Arild",NOR,2225
"Aaron,Manuel",IND,2375
"Aban, Elbio",ARG,2240
"Abarca-Aguirre, Manuel",CHI,2360
"Abatino,Maurizio",ITA,2380
"Abayasekera,Roger",ENG,2280
"Abbas, B H",IRQ,2210
"Abbasi, Rania",SYR,2005
"Abbou, Meriem",ALG,2015
"Abdeldjebar, Tayeb",ALG,2110
"Abdennabi,Imed",EGY,2375
"Abdul Karim, Al-Audari",YEM,2205
"Abdul Majeed, N",IND,2245
"Abdul Moula, Sabri",YEM,2190
"Abdul Satar, M A",IRQ,2240
"Abdul,Maje",UAE,2205
"Abdul.Wahab,A..Rasheed",IRQ,2430
"Abdulghafour,Yousef",QAT,2240
"Abdulla,A",IRQ,2300
"Abdulla,Ahmed.Ibrahim",QAT,2240
"Abdullaeva,U",AZE,2090
"Abdullah, A Hamedo",MAR,2220
"Abdullah, Mansoor",UAE,2305
"Abed,Rabou",JOR,2205
"Abel,Lajos",HUN,2285
"Abella, Roger",PHI,2330
"Abibula,Aytechin",ROM,2280
"Abou.El.Zein,Eid.Mahmoud",EGY,2325
"Abouchaaya, Tony",AUS,2215
"Abramovic,Bosko",YUG,2475
"Abramson,Horacio",ARG,2215
"Abravanel,Chely",FRA,2345
"Abregu, Miguel",ARG,2225
"Abreu, Jorge D.",DOM,2385
"Abroshina, I",RUS,2075
"Absmaier,Friedrich",GER,2230
"Abundo, Casto",PHI,2205
"Abzianidze, Irma",GEO,2005
"Ac,Michal",SVK,2225
"Acebal,J..Maria",ESP,2300
"Acebal.Muniz,Antonio",ESP,2280
"Acevedo, Hilda",MEX,2070
"Acevedo,Armando",MEX,2260
"Acha,Jorge",ARG,2230
"Acharya, Chandragupta-K",IND,2285
"Acic, Sladjana",YUG,2005
"Acimovic, Svetozar",YUG,2350
"Ackermann, Roland",SUI,2280
"Ackermann,Hans-Werner",GER,2255
"Acosta, Tomas",ARG,2250
"Acosta,Alejandro",COL,2325
"Ada, Baryalai",CAN,2225
"Adad, Julio",ARG,2275
"Adad,Carlos",ARG,2220
"Adahl,Mattias",SWE,2205
"Adam, A",KEN,2205
"Adamanova, L",RUS,2065
"Adamek,Zdenek",CZE,2090
"Adams, James Bernard",ENG,2300
"Adams,Michael",ENG,2630
"Adamski,Andrzej",POL,2305
"Adamski,Jan",POL,2410
"Addison, Wiliam G",USA,2490
"Adelman,Charles..D",USA,2220
"Ademi,Sami",YUG,2240
"Ader, Walter",CHI,2270
"Adhami, Hesham",PLE,2195
"Adhami, Vangiel",ALB,2325
"Adianto,Utut",INA,2490
"Adla,Diego",ARG,2455
"Adler,Bo",SWE,2235
"Adler,Joel",SUI,2340
"Adler,Viktor",RUS,2385
"Adoamnei,Roxana",ROM,2075
"Adok,Janos",HUN,2240
"Adorjan,Andras",HUN,2545
"Adrian,Claude",FRA,2280
"Ady,Jonathan.J",HKG,2300
"Adzic,Slobodan",YUG,2265
