Player,Country,Rating
"A K, Kalshyan",IND,1979
"A La, Teng Hua",CHN,1915
"A, Akshaya",IND,1857
"A.f.m., Mahfuzul Haque",BAN,1762
"Aab, Manfred",GER,1846
"Aaberg, Anton",SWE,2391
"Aabling-Thomsen, Jakob",DEN,2288
"Aadityan, N.",IND,1826
"Aagaard, Gert",DEN,2083
"Aagaard, Jacob",SCO,2535
"Aagaard, Kasper",DEN,1913
"Aagaard, Michael",NED,2013
"Aage, Bjarke",DEN,2068
"Aagedal, Geir Ole",NOR,1832
"Aakio, Seppo",FIN,2123
"Aalbersberg Kroon, Pedro",ESP,2019
"Aalders, Hendricus",ESP,2021
"Aaltio, Erkki",FIN,2110
"Aandal, Kristian",NOR,2023
"Aanstad, Magnus",NOR,2084
"Aarefazad, Gholamhossein",IRI,1897
"Aarland, Stein Arild",NOR,2304
"Aaron, Deepak",USA,2066
"Aaron, Manuel",IND,2315
"Aarons, Poppy J",ENG,1862
Aarthi G,IND,1601
"Aarthi, Lakhsmi E.K.A.",IND,1953
"Aarts, Rob",NED,2047
"Aaskov, Jorgen",DEN,2164
"Aasum, Anker",NOR,1896
"Aathayam, V",IND,1936
"Aatirah, C P",IND,1961
"Aatirah, C P",IND,1866
"Ababneh, Faisal",JOR,1972
"Ababneh, Ghayth",JOR,2024
"Ababou, Alexandre",FRA,1759
"Ababou, Nessim",FRA,2052
"Ababsa, Tufek",FRA,1742
"Abad Sanmartin, Jorge",ESP,2076
"Abad Vinas, Jesus Manuel",ESP,1884
"Abadalla, Mohamed Kamel",EGY,2021
"Abadia Pascual, Luis",ESP,1972
"Abadie Romero, Jonathan",ECU,2012
"Abaev, Viktor",RUS,1997
"Abakarov, Alexander",UKR,2187
"Abal Cores, Christian",ESP,1511
"Abal Cores, Lucas",ESP,1596
"Abalde Fernandez, Esteban",ESP,2061
"Abalovich, Leonid",ISR,1808
"Aban, Elbio",ARG,2250
"Abandah, Jamal",JOR,1995
"Abang, Mohd Reduan",MAS,2093
"Abanin, Vladimir",RUS,1889
"Abarca Aguirre, Manuel",CHI,2347
"Abarca del Rio, Francisco",FRA,2140
"Abarca Gonzalez, Damaris",CHI,1942
"Abarca Gonzalez, Nicolas",CHI,2047
"Abarca Rivadeneira, Ivan",CHI,2156
"Abarca, Diego",PER,2141
"Abarza Alarcon, Oscar",CHI,1834
"Abascal Vicente, Ignacio",ESP,1933
"Abasheev, Denis",RUS,2415
"Abashev, Alex",RUS,2256
"Abashkin, Anton",RUS,2219
"Abasov, Nijat Azad Oglu",AZE,2397
"Abasov, Togrul",AZE,1949
"Abasov, Yasar",AZE,2060
"Abate, Tomas",ARG,1601
"Abatino, Maurizio",ITA,2174
"Abaturov, Alexander",RUS,2340
