Player,Country,Rating
"'t Jong, Ewoud",NED,2117
"Aaberg, Anton",SWE,2388
"Aagaard, Jacob",DEN,2356
"Aage, Bjarke",DEN,2084
"Aalders, Hendricus",ESP,2064
"Aarland, Stein Arild",NOR,2259
"Ababneh, Faisal",JOR,2018
"Abad Sanmartin, Jorge",ESP,2031
"Abadie Romero, Jonathan",ECU,2040
"Abaev, Viktor",RUS,2183
"Abandah, Jamal",JOR,2066
"Abarca Aguirre, Manuel",CHI,2337
"Abarca Del Rio, Francisco",FRA,2156
"Abashev, Denis",RUS,2407
"Abatino, Maurizio",ITA,2225
"Abaturov, Alexander",RUS,2214
"Abbas, B H",IRQ,2222
"Abbasifar, Hasan",IRI,2300
"Abbasov, Aris",AZE,2060
"Abbasov, Farid",AZE,2443
"Abd El Fatah, Reda Fadel",EGY,2152
"Abdel Aziem, Ramadan",EGY,2293
"Abdel Aziz, Mahmoud",EGY,2086
"Abdel Aziz, Shebab",EGY,2118
"Abdel Fadil, Mohamed",EGY,2182
"Abdel Fatah, Mohamed",EGY,2142
"Abdel Hamid, Gamal",EGY,2091
"Abdel Maabod, Gamal",EGY,2186
"Abdel Monem, Salah",EGY,2161
"Abdel Rahim, Mohamed",UAE,2053
"Abdel Rahman, Alla",EGY,2213
"Abdel Razik, Ahmed",EGY,2098
"Abdel Razik, Khaled",EGY,2373
"Abdel Samee, Mohamed",EGY,2220
"Abdel Wahed, Mohamed",EGY,2060
"Abdel Zaher, Elsaiid",EGY,2101
"Abdelnabbi, Imed",EGY,2421
"Abdelrahman, A.K.",EGY,2206
"Abdic, Adnan",BIH,2021
"Abdikasova, Panno",KAZ,2039
"Abdo, Antuan",LIB,2013
"Abdukadurova, Mekhri",TKM,2068
Abdul,BAN,2122
"Abdul Adhim, Muneer",IRQ,2244
"Abdul Ghani, Hayder",IRQ,2300
"Abdul Jabbar, A.",IRQ,2140
"Abdul Kareem, Hassan",UAE,2169
"Abdul Majeed, N.",IND,2166
"Abdul Minim, Al Sayed",SUD,2157
"Abdul Moula, Sabri",YEM,2165
"Abdul Satar, A.A.",IRQ,2183
"Abdul Wahaab, Farked",IRQ,2146
"Abdul Wahab, A. Rasheed",IRQ,2340
"Abdul, Majeed",UAE,2293
"Abdulaziz, Mahmoud",LIB,2134
"Abdulghafour, Yousef",QAT,2148
"Abdulla, A.",IRQ,2272
"Abdulla, A.S.",UAE,2255
"Abdulla, Al-Rakib",BAN,2432
"Abdullah, Al Raki",USA,2270
"Abdullah, Mansoor",UAE,2270
"Abdullah, Mohammed",IRQ,2127
"Abdullah, Rafee",UAE,2192
"Abdulov, Rauf",RUS,2175
"Abdulvagabov, Makhach",RUS,2281
"Abduramanov, Arsen",UKR,2099
"Abdyzhaparov, Aydar",KGZ,2039
"Abed, Rabou",JOR,2118
"Abedian, Saeid",IRI,2193
"Abel Naby, Ahmed",EGY,2136
