Player,Country,Rating
"Aaberg,Anton",SWE,2300
"Aagaard,Jacob",DEN,2395
"Aaron,Manuel",IND,2315
"Aatrhi,R",IND,2035
"Abad.Sanmartin,Jorge",ESP,2090
"Abakarov,Alexander",UKR,2320
"Abandah,Jamal",JOR,2140
"Abarca,Ivan",CHI,2250
"Abarca-Aguirre, Manuel",CHI,2340
"Abarca.Del.Rio,Francisco",FRA,2125
"Abashev,Denis",RUS,2365
"Abatino,Maurizio",ITA,2275
"Abay,Gokhan",TUR,2105
"Abayasekera,Roger",ENG,2230
"Abbasi, Nasser-M",USA,2305
"Abbink, Michel",NED,2280
"Abd-Mariam, John-N-T",ENG,2160
"Abd.El.Fatah,Reda.Fadel",EGY,2175
"Abdel.Aziem,Ramadan",EGY,2155
"Abdel.Aziz,Shebab",EGY,2195
"Abdel.Fadil,Mohamed",EGY,2190
"Abdel.Rahim,Mohamed",UAE,2140
"Abdel.Samee,Mohamed",EGY,2185
"Abdelrahman,A.K",EGY,2140
"Abdennabi,Imed",EGY,2400
"Abdo,Antuan",LIB,2025
"Abdul,Herman",USA,2080
"Abdul,Maje",UAE,2255
"Abdul-Karem,Sharef",IRQ,2050
"Abdul.Adhim,Muneer",IRQ,2220
"Abdul.Ghafour,Zayed",QAT,2115
"Abdul.Ghani,Hayder",IRQ,2240
"Abdul.Jabbar,A",IRQ,2125
"Abdul.Kadir,M",IRQ,2005
"Abdul.Kareem,Hassan",UAE,2170
"Abdul.Minim,Al.Sayed",SUD,2200
"Abdul.Satar,A.A",IRQ,2125
"Abdul.Wahaab,Farked",IRQ,2140
"Abdul.Wahab,A..Rasheed",IRQ,2325
"Abdulghafour,Yousef",QAT,2120
"Abdulla,A",IRQ,2290
"Abdulla,A.S",UAE,2250
"Abdulla,Ahmed.Ibrahim",QAT,2180
"Abdulla,Al-Rakib",BAN,2285
"Abdullah,Abbas",UAE,2080
"Abdullah,Jaafar.Mohamed",UAE,2175
"Abdullah,Mohamed",UAE,2210
"Abed,Rabou",JOR,2185
"Abedinov,Adnan",SWE,2200
"Abel,Lajos",HUN,2300
"Abel,Peter",SVK,2285
"Abel,Thomas",GER,2400
"Abelev,Oleg",RUS,2260
"Abella,Julio.C",ARG,2305
"Abella.Vazquez,Carlos.Manuel",ESP,2180
"Abella.Vazquez,Cesar",ESP,2055
"Abello,Sebastien",FRA,2100
"Abeln,Michiel",NED,2240
"Aberbach,Angel",ARG,2095
"Abergel,Thal",FRA,2125
"Abhau,Jochen",GER,2295
"Abhay,G.N",IND,2110
"Abhimod,K",IND,2065
"Abhyankar,M.N",IND,2175
"Abibula,Aytechin",ROM,2305
"Abildlund,Jens",DEN,2195
"Abishova,Anna",EST,2045
"Abo.Elnasr,Mohamed",EGY,2165
"Abo.Nar,Mohamed",EGY,2210
"Abolianin,Arthur",BEL,2295
"Abolina, Liga",LAT,2140
"Abou.El.Zein,Eid.Mahmoud",EGY,2325
"Aboud,Firas",SYR,2265
"Aboudi,M",JOR,2275
"Abraham, Ingo-Dr",GER,2135
"Abrahamson, Philip",NZL,2085
"Abramchuk,Klavdia",UKR,2105
"Abramov,A.P",RUS,2195
"Abramova,Oksana",RUS,2115
"Abramovic,Bosko",YUG,2495
"Abramovic,Dragoljub",YUG,2120
"Abrashkin, Boris",RUS,2370
"Abravanel,Chely",FRA,2340
"Abreu,Arian",CUB,2410
"Abreu.Suarez,Isauro",ESP,2145
"Abrosimov,Alexandre",RUS,2310
"Absmaier,Friedrich",GER,2195
"Abu.Nabhan,Loai",JOR,2005
"Abu.Sufian,Sakil",BAN,2145
"Abubakar,Nurdin",INA,2175
"Abuhijlah,N",JOR,2060
"Abzirko,Nikolay",RUS,2120
"Ac,Michal",SVK,2295
"Accensi.Estrada,Miguel.Angel",ESP,2170
"Acebal.Muniz,Antonio",ESP,2260
"Acevedo, Victor",PAR,2085
"Acevedo,Guillermo",NCA,2070
"Acha,Jaime",CHI,2070
"Acha,Jorge",ARG,2225
"Acharya, Chandragupta-K",IND,2300
"Achim,Constantin",ROM,2075
"Achleitner,Robert",AUT,2135
"Acholonu, Gregory",USA,2310
"Acosta,Alejandro",COL,2340
"Acosta,Mariano",ARG,2070
"Acosta.Garcia,Alfonso.Carlos",ESP,2260
"Acs,Gabor",HUN,2110
"Acs,Peter",HUN,2450
"Acuna,Adolfo",CHI,2070
"Adam, Gunther",AUT,2060
"Adam, Petr",CZE,2210
"Adam,Gyorgy",HUN,2175
"Adam,Ion",ROM,2150
"Adamec,Antonin",CZE,2205
"Adamek,Petr",CZE,2080
"Adamek,Zdenek",CZE,2135
"Adamko,Peter",SVK,2185
"Adamovic,Nenad",YUG,2285
"Adamovski,Jan",POL,2110
"Adams,Mark",WLS,2025
"Adams,Michael",ENG,2670
"Adams,Nick.A",USA,2205
"Adamski,Andrzej",POL,2335
"Adamski,Jan",POL,2345
"Adamson,Robby",USA,2320
"Adasiak,Leszek",POL,2070
"Addison,Bret",ENG,2090
"Adelaja,Abimbola",NGR,2145
"Adell.Corts,Francisco",ESP,2145
"Adelman,Charles..D",USA,2275
"Ademi,Sami",YUG,2250
"Adensamer,Gerhard",AUT,2050
"Adianto,Utut",INA,2615
"Adinolfi,Vincenzo",ITA,2170
"Adla,Diego",ARG,2460
"Adler,Bo",SWE,2245
"Adler,Joel",SUI,2250
"Adler,Viktor",RUS,2405
"Adnan,Faisal",BAN,2120
"Adoamnei,Roxana",ROM,2120
"Adok,Janos",HUN,2240
"Adorjan,Andras",HUN,2490
"Adrian,Axel",GER,2135
"Adrian,Claude",FRA,2335
"Adrian,Robert",HUN,2035
"Adu,Oladapo",NGR,2195
"Ady,Jonathan.J",HKG,2395
"Adyel,Samir",FRA,2065
"Adzic,Slobodan",YUG,2230
"Aepfler,Christian",GER,2180
"Aeschbacher,Johann",FRA,2150
"Afanasiev,Anton",RUS,2260
"Afanasiev,Fedor",RUS,2350
"Afanasiev,Vadim",RUS,2305
"Afanasjev,Alexei",RUS,2065
"Afek,Yochanan",ISR,2390
"Affimov,Vladimir",RUS,2190
"Afifi,Assem",EGY,2345
"Afifi,Atef",EGY,2040
"Afinogenov,A.Y",RUS,2240
"Afonin,Alexey",RUS,2190
"Afrah,Navid",CAN,2230
"Afriany,V",HAI,2130
"Aftsoglou,Ioannis",GRE,2280
"Agababean,Naira",MDA,2270
"Agache, Tiberiu",ROM,2240
"Agarwal,Ashok",IND,2160
"Agarwal,Brajesh",IND,2245
"Agayn, Ventzislav",BUL,2095
"Agdamus,Jose.Luis",BRA,2300
"Agdestein,Espen",NOR,2375
"Agdestein,Simen",NOR,2570
"Ageichenko,Genadi..A",RUS,2360
"Agejevas, Aleksandras",LTU,2080
"Agergaard,Lars",DEN,2200
"Aghabeyghiha,Mohsen",IRI,2280
"Aghapour,Mammad",GER,2245
"Aginian,Nelly",ARM,2130
"Agistriotis,Mihail",GRE,2090
"Aglave,Arnaud",BEL,2060
"Aglietti,Graziano",ITA,2060
"Agnelli,Francesco",ITA,2075
"Agnello,Giuseppe",ITA,2165
"Agnos,Dimitri",GRE,2475
"Agopov,Mikael",FIN,2320
"Agostani,Andrea",ITA,2165
"Agosto,Erika",ITA,2040
"Agouridis,Aris",GRE,2100
"Agra,Ariel",CUB,2145
"Agrawal,Kiran",IND,2040
"Agrest,Evgenij",SWE,2525
"Agrest,Svetlana",SWE,2255
"Agrinsky,Vladimir.P",RUS,2175
"Aguera.Naredo,Javier",ESP,2310
"Aguerreberry,Claudio",ARG,2255
"Aguiar,Justo",CUB,2090
"Aguila,Gustavo",ARG,2310
"Aguilar,Juan",PER,2305
"Aguirre,Simon",FRA,2190
"Aguirre.Izaguirre,Pedro.Jose",ESP,2210
"Aguirre.Izaguirre,Vicente",ESP,2145
"Ahlander,Bjorn",SWE,2410
"Ahlberg,Guenter",GER,2210
"Ahmad,Abdul.Khaliq",IRQ,2225
"Ahmad,Aziz",IRQ,2310
"Ahmed,Ehab",EGY,2285
"Ahmed,Esam.Aly",EGY,2335
"Ahmed,Sk..Nasir",BAN,2105
"Ahn,Martin",BEL,2310
"Ahner,Andreas",GER,2250
"Ahrens,Manuela",GER,2125
"Ahumada,Cristian",CHI,2055
"Ahundov,Ruslan",TKM,2405
"Aidasani,Yashrat",IND,2185
"Aijala,Jouko",FIN,2170
"Aikhoje,Odion",NGR,2255
"Airapetian, Tigran",ARM,2335
"Aird,Ian",SCO,2150
"Aj,Laszlo",HUN,2070
"Akash,Deep",IND,2210
"Akbaev,Kazbek",RUS,2160
"Akchelov,Sergey",RUS,2145
"Akesson,Dan",SWE,2050
"Akesson,Joel",SWE,2290
"Akesson,Ralf",SWE,2505
"Akhmadeev,Vadim",RUS,2445
"Akhmetov,Artiom",RUS,2420
"Akhsharumova,Anna..M",USA,2310
"Akil,Mahmoud",SYR,2195
"Akintola,Fola",NGR,2310
"Akl,Nabil",FRA,2195
"Akobian,Varuzhan",ARM,2365
"Akopdzhanov,A..A",ARM,2145
"Akopian,Artak",USA,2215
"Akopian,Gagik",ARM,2295
"Akopian,Vladimir",ARM,2660
"Akopov,Roman",ARM,2330
Akopyan.Harutyun,USA,2265
"Akovic,Lazar",YUG,2275
"Akselrod,Vladislav",RUS,2375
"Akshay,Kumar.Jain",IND,2090
"Aksionova,Tatiana",UKR,2200
"Aksiuczyc,Monika",POL,2155
"Akulov,Leonid",UKR,2335
"Al-Afoo, Shaker",BRN,2200
"Al-Argha, Hisham",SYR,2165
"Al-Ashhab,Saamer",JOR,2300
"Al-Ghasra,Ali",BRN,2205
"Al-Hantouli,Firas",JOR,2165
"Al-Hariri,Zainab.O",IRQ,2180
"Al-Hitmi,Mohamad",QAT,2115
"Al-Kailani, Zaid",JOR,2130
"Al-Kazzaz,R.K",IRQ,2220
"Al-Khateeb,Ahmed",SYR,2275
"Al-Khraisha,Montaser",JOR,2150
"Al-Modiahki,Mohamad",QAT,2425
"Al-Rufei,Ahmed.H",IRQ,2220
"Al-Rufei,Eman.H",IRQ,2120
"Al-Sad,Faysal",QAT,2300
"Al-Sayed,Mohammed",QAT,2065
"Al.Hadarani,Hatim",YEM,2360
"Al.Haisamwi,Sameer",JOR,2150
"Al.Rayyan,Mohamad",SYR,2160
"Al.Sayed,Mohamad.N",QAT,2090
"Al.Subaihi,Khlil",YEM,2240
"Al.Sulaiti,Ali",BRN,2185
"Al.Tahir,Hisham",UAE,2280
"Alagulian,Kamo",RUS,2105
"Alaimo,Riccardo",ITA,2080
"Alam,Md..Khorshed",BAN,2130
"Alarcon,Hans",CHI,2075
"Alarcon,Ruy",PER,2230
"Alava,Mikko",FIN,2205
"Alavi,Sayed.Javad",IRI,2245
"Alavkin,Arseny",RUS,2440
"Alawieh,Amin",FRA,2295
"Albano,Marco",ITA,2230
"Albarran,Gustavo",ARG,2065
"Alber,Horst",GER,2315
"Alberola.Mulet,Benj",ESP,2225
"Albert,Kornelia",HUN,2130
"Albert,Marion",GER,2140
"Alberton,Roberto",ITA,2160
"Albescu,Nicolae",ROM,2005
"Albores,Pablo",ARG,2220
"Albrecht,Hans",GER,2245
"Albrecht,Rainer",GER,2245
"Albrecht,Ulli",GER,2095
"Alburt,Lev..O",USA,2550
"Alcazar.Jimenez,Jesus",ESP,2105
