Player,Country,Rating
"Aaberg,Anton",SWE,2275
"Aagaard,Jacob",DEN,2245
"Aarland, Stein Arild",NOR,2250
"Aaron,Manuel",IND,2375
"Aban, Elbio",ARG,2250
"Abarca,Ivan",CHI,2260
"Abarca-Aguirre, Manuel",CHI,2360
"Abatino,Maurizio",ITA,2330
"Abay,Gokhan",TUR,2115
"Abayasekera,Roger",ENG,2250
"Abbas, B H",IRQ,2195
"Abbasi, Nasser-M",USA,2305
"Abbasi, Rania",SYR,2040
"Abbink, Michel",NED,2295
"Abbou, Meriem",ALG,2015
"Abd-Mariam, John-N-T",ENG,2160
"Abdel Megid, Mostafa",EGY,2340
"Abdel.Aziem,Ramadan",EGY,2275
"Abdeldjebar, Tayeb",ALG,2110
"Abdennabi,Imed",EGY,2375
"Abdol Raheim, Emad",SUD,2205
"Abdul Karim, Al-Audari",YEM,2205
"Abdul Majeed, N",IND,2245
"Abdul Moula, Sabri",YEM,2200
"Abdul Satar, M A",IRQ,2240
"Abdul,Maje",UAE,2205
"Abdul.Adhim,Muneer",IRQ,2230
"Abdul.Jabbar,A",IRQ,2110
"Abdul.Kareem,Hassan",UAE,2130
"Abdul.Satar,A.A",IRQ,2270
"Abdul.Wahaab,Farked",IRQ,2140
"Abdul.Wahab,A..Rasheed",IRQ,2410
"Abdulghafour,Yousef",QAT,2180
"Abdulla,A",IRQ,2290
"Abdulla,A.S",UAE,2130
"Abdulla,Ahmed.Ibrahim",QAT,2215
"Abdulla,Al-Rakib",BAN,2250
"Abdullaeva,U",AZE,2090
"Abdullah, A Hamedo",MAR,2220
"Abdullah, Mansoor",UAE,2290
"Abdullah,Abbas",UAE,2110
"Abdullah,Mohamed",UAE,2230
"Abdurachman, A.A.",INA,2165
"Abed,Rabou",JOR,2205
"Abel,Lajos",HUN,2235
"Abella, Roger",PHI,2330
"Abella.Vazquez,Carlos.Manuel",ESP,2185
"Abeln,Michiel",NED,2125
"Abibula,Aytechin",ROM,2300
"Abildlund,Jens",DEN,2205
"Abishova,Anna",EST,2050
"Abo.Nar,Mohamed",EGY,2020
"Abolianin,Arthur",BEL,2275
