Player,Country,Rating
"A.K.M., Nesaruddin",BAN,1937
"A.b., Bappi",BAN,1960
"Aaberg, Anton",SWE,2383
"Aabling-Thomsen, Jakob",DEN,2185
"Aagaard, Jacob",SCO,2447
"Aagaard, Kasper",DEN,1980
"Aage, Bjarke",DEN,2068
"Aakio, Seppo",FIN,2146
"Aalbersberg Kroon, Pedro",ESP,2096
"Aalders, Hendricus",ESP,2021
"Aandal, Kristian",NOR,1951
"Aarland, Stein Arild",NOR,2272
"Aaron, Manuel",IND,2294
"Aarons, Poppy J.",ENG,1862
"Aarthi, Lakhsmi E.K.A.",IND,1939
"Aaskov, Jorgen",DEN,2078
"Ababneh, Faisal",JOR,1950
"Ababneh, Ghayth",JOR,2107
"Abad Sanmartin, Jorge",ESP,2075
"Abad Vinas, Jesus Manuel",ESP,1894
"Abadia Pascual, Luis",ESP,1986
"Abadie Romero, Jonathan",ECU,2012
"Abaev, Viktor",RUS,2135
"Abakarov, Alexander",UKR,2320
"Abalde Fernandez, Esteban",ESP,2145
"Abalovich, Leonid",ISR,1808
"Abandah, Jamal",JOR,2058
"Abang, Mohd Reduan",MAS,2146
"Abarca Aguirre, Manuel",CHI,2347
"Abarca del Rio, Francisco",FRA,2140
"Abarca, Diego",PER,2141
"Abarca, Ivan",CHI,2183
"Abascal Vicente, Ignacio",ESP,1956
"Abasheev, Denis",RUS,2440
"Abashev, Alex",RUS,2293
"Abasov, Nijat Azad",AZE,2134
"Abatino, Maurizio",ITA,2205
"Abaturov, Alexander",RUS,2340
"Abatzidis, Stelios",GRE,2056
"Abay, Gokhan",TUR,2075
"Abayasekera, Roger",ENG,2210
"Abaza, Ivan",CRO,2106
"Abbas, B H",IRQ,2231
"Abbasi, Meisam",IRI,1960
"Abbasi, Nasser M.",USA,2305
"Abbasi, Rania",SYR,2040
"Abbasi, Rasool",IRI,2264
"Abbasifar, Hasan",IRI,2353
"Abbasov, Aris",AZE,2060
"Abbasov, Farid",AZE,2462
"Abbasova, Aiguioun",AZE,2170
"Abbet, Jean-Luc",SUI,2047
"Abbey, Anate",FRA,1783
"Abbink, Michel",NED,2259
"Abbou, Meriem",ALG,2005
"Abcouwer, Jan-Bart",NED,2184
"Abd El Fatah, Reda Fadel",EGY,2189
"Abd-Mariam, John N.T.",ENG,2160
"Abdagic, Edib",DEN,2010
"Abdala, Jorge",BOL,2108
"Abdalla, Jr Chead",BRA,1907
"Abdalla, Luiz Guilherme Aurelli",BRA,1913
"Abdallah, Ahmed",EGY,2020
"Abdallah, Feras",JOR,2096
"Abdallah, Mohamed",EGY,2115
"Abdein, Ahmed",EGY,2109
"Abdein, Saiied",EGY,2097
"Abdel Aziem, Ramadan",EGY,2315
"Abdel Aziz, Ahmed",EGY,2143
"Abdel Aziz, Ehab",EGY,2219
"Abdel Aziz, Mahmoud",EGY,2063
"Abdel Aziz, Shebab",EGY,2118
"Abdel Elah, Ahmed",EGY,2173
"Abdel Fadil, Mohamed",EGY,2223
"Abdel Fatah, Emad",EGY,2078
"Abdel Fatah, Mohamed",EGY,2167
"Abdel Fatah, Reda",EGY,2202
"Abdel Gawad, Salah",EGY,1994
"Abdel Hafeiz, Ayman",EGY,2019
"Abdel Hai, Hany",EGY,2097
"Abdel Hamid, Gamal",EGY,2036
"Abdel Maabod, Gamal",EGY,2135
"Abdel Megid, Mostafa",EGY,2340
"Abdel Moneim, Sameir",EGY,2076
"Abdel Monem, Salah",EGY,2172
"Abdel Rahim, Mohamed",UAE,2053
"Abdel Rahman, Alla",EGY,2199
"Abdel Razik, Ahmed",EGY,2106
"Abdel Razik, Khaled",EGY,2387
"Abdel Samee, Mohamed",EGY,2266
"Abdel Shafy, Mahmoud",EGY,2092
"Abdel Wahab, Ismail",EGY,2151
"Abdel Wahed, Mohamed",EGY,2021
"Abdel Zaher, Elsaiid",EGY,2060
"Abdeldjebar, Tayeb",ALG,2110
"Abdelnabbi, Imed",EGY,2461
"Abdelrahman, A.K.",EGY,2178
"Abdi, Houcine",FRA,1786
"Abdi, Tahireh",IRI,2090
"Abdic, Adnan",BIH,2142
"Abdikasova, Panno",KAZ,2035
"Abdo, Antuan",LIB,1962
"Abdo, Luis",PAR,2040
"Abdol Raheim, Emad",SUD,2205
"Abdollah Zadeh, Arash",IRI,2113
"Abdukadurova, Mekhri",TKM,2151
"Abdul Adhim, Muneer",IRQ,2174
"Abdul Ghafour, Zayed",QAT,2052
"Abdul Ghani, Hayder",IRQ,2212
"Abdul Jabbar, A.",IRQ,2140
"Abdul Kadir, M.",PLE,1978
"Abdul Kareem, Hassan",UAE,2169
"Abdul Karim, Al-Audari",YEM,2190
"Abdul Majeed, N.",IND,2115
"Abdul Minim, Al Sayed",SUD,2106
"Abdul Moula, Sabri",YEM,2155
"Abdul Satar, A.A.",IRQ,2199
"Abdul Satar, M A",IRQ,2240
"Abdul Wahaab, Farked",IRQ,2146
"Abdul Wahab, A. Rasheed",IRQ,2250
"Abdul, Azeez S.K.",IND,1855
"Abdul, Herman",USA,2080
"Abdul, Majed",BAN,1941
"Abdul, Majeed Mohamad",UAE,2257
"Abdul, Maleq",BAN,2233
"Abdul, Momin",BAN,2061
"Abdul, Rasheed",IND,1867
"Abdul-Karem, Sharef",IRQ,2050
"Abdulaziz, Amal",UAE,0
"Abdulaziz, Eman",UAE,0
"Abdulaziz, Ibrahim",UAE,1849
"Abdulaziz, Mahmoud",LIB,2101
"Abdulgalil, Husain",BRN,1960
"Abdulghafour, Yousef",QAT,2140
"Abdulkarim, Ali",UAE,1992
"Abdulkhairov, Umar",UZB,2150
"Abdulla, A.",IRQ,2320
"Abdulla, A.S.",UAE,2255
"Abdulla, Ahmed Ibrahim",QAT,2180
"Abdulla, Al Tahir",UAE,1958
"Abdulla, Al-Rakib",BAN,2477
"Abdulla, Mohamed Saleh",UAE,1988
"Abdullaev, A",UZB,2090
"Abdullaev, Makhish",AZE,2297
"Abdullaeva, U",AZE,2090
"Abdullah, A Hamedo",MAR,2220
"Abdullah, Abbas",UAE,2068
"Abdullah, Al Raki",USA,2270
"Abdullah, Al-Saif",BAN,1866
"Abdullah, Che Hassan",MAS,2085
"Abdullah, Jaafar Mohamed",UAE,2175
"Abdullah, Khairi Kz",MAS,2015
"Abdullah, Mansoor",UAE,2270
"Abdullah, Mohamed",UAE,2210
"Abdullah, Mohammed",IRQ,2127
"Abdullah, Rafee",UAE,2192
"Abdullina, Kamila R.",RUS,2058
"Abdulov, Oleg",RUS,2100
"Abdulov, Orkhan",AZE,2231
"Abdulov, Rauf",RUS,2169
"Abdulrahman, Ahmed",UAE,1920
"Abdulrahman, Nezam",UAE,2045
"Abdulvagabov, Makhach",RUS,2281
"Abdulyazanov, Malik",RUS,2339
"Abdur, Rouf",BAN,2036
"Abdurachman, A.A.",INA,2165
"Abdurafiev, Memet",UKR,2123
"Abduramanov, Arsen",UKR,2099
"Abdyzhaparov, Aydar",KGZ,2050
"Abed, Rabou",JOR,2118
"Abedi, Abolfazl",IRI,2146
"Abedi, Ali",IRI,2228
"Abedian, Saeid",IRI,2166
"Abedin, Zainul Sagar",BAN,2101
"Abedinov, Adnan",SWE,2142
"Abegg, Beat",SUI,1885
"Abel Naby, Ahmed",EGY,2068
"Abel Vazquez, Jose Luis",ESP,2002
"Abel, Dennes",GER,2201
"Abel, Lajos",HUN,2306
"Abel, Manfred",GER,2021
"Abel, Peter",SVK,2199
"Abel, Thomas",GER,2336
"Abel, Yap",MAS,2010
"Abela, Daniel",MLT,2082
"Abele, Albert",GER,2013
"Abele, Edmund",GER,1911
"Abelev, Oleg",RUS,2316
"Abelha, Mozart",BRA,2056
"Abelian, Artak",RUS,2346
"Abelian, Oganes",RUS,2324
"Abella Vazquez, Carlos Manuel",ESP,2227
"Abella Vazquez, Cesar",ESP,2127
"Abelleira Gonzalez, Daniel",ESP,1953
"Abello, Javier",CHI,2088
"Abello, Sebastien",FRA,2255
"Abeln, Michiel",NED,2377
"Abendroth, Guenter",GER,2225
"Abendroth, Karlheinz",GER,2117
"Abente, S Ramiro",PAR,1764
"Abera, Yimam",ETH,2146
"Aberbach, Angel",ARG,2083
"Aberg, Tommi",FIN,2035
"Abergel, Thal",FRA,2426
"Abesingea, A.G.T.C",SRI,1731
"Abeuov, M.",KAZ,2169
"Abeynayake, D.R.",SRI,1890
"Abhau, Jochen",GER,2263
"Abhay, G.N.",IND,2073
"Abhay, Kadekar",IND,1939
"Abhay, Keshav Patankar",IND,2052
"Abhay, T.",IND,2225
Abhijit Chutia,IND,2009
"Abhijit, Kar",IND,1950
"Abhilash, Reddy M.L.",IND,2122
"Abhimanyu, Poddar",IND,2040
"Abhimod, K.",IND,2037
"Abhirama, M.",IND,2107
"Abhishek, Das",IND,2224
"Abhishek, Kelkar",IND,2014
"Abhishek, Paul Y.",IND,1997
"Abhishek, Singh",IND,2110
"Abhratanu, Dutta",IND,2022
"Abhyankar, M.N.",IND,2159
"Abhyudaya, Rajpurohit",IND,2065
"Abibula, Aytechin",ROM,2328
"Abid, Ali",IND,2072
"Abidin, Zukkernain",BRU,2179
"Abildlund, Jens",DEN,2189
"Abilmazhinov, Dauren",KAZ,2428
"Abisheva, Aziza",AZE,1960
"Abishova, Anna",EST,2045
"Abiuso, Diego",CHI,2110
"Abkarian, Suren",ARM,2058
"Ablonczy, Kalman",HUN,1945
"Abo Elnasr, Mohamed",EGY,2160
"Abo Hagag, Mohamed",EGY,2149
"Abo Nar, Mohamed",EGY,2148
"Abo Zekry, Mohamed",EGY,2237
"Abolian, Evgenia",RUS,2134
"Abolianin, Arthur",BEL,2380
"Abolichin, Dmitrij",LTU,2110
"Abolina, Liga",LAT,2140
"Abornev, Sergey",RUS,2195
"Abos Rosico, Antonio",ESP,1999
"Abou El Zein, Eid Mahmoud",EGY,2335
"Abouan, Stephane",FRA,2103
"Aboud, Firas",SYR,2310
"Aboudi, M.",JOR,2177
"Aboutail, Mohamed",EGY,2162
"Aboy Nieto, Pablo",ESP,1920
"Abraham, Ingo Dr.",GER,2214
"Abraham, Jan",SVK,2059
"Abraham, Jan Willem",GER,2198
"Abraham, Lajos",HUN,1942
"Abraham, Zoltan",HUN,1951
"Abrahamson, Philip",NZL,2085
"Abrahamsson, Daniel",SWE,1989
"Abrahamyan, Tatev",USA,2254
"Abramchuk, Klavdia",UKR,2156
"Abramenko, Sergey",BLR,2132
"Abramov, Alexander",RUS,2285
"Abramov, Anatoli P.",RUS,2210
"Abramov, Anatolij",RUS,2176
"Abramov, Artem",RUS,1913
"Abramov, Boris",RUS,2251
"Abramov, Igor",RUS,2097
"Abramov, Nikolay",RUS,2032
"Abramov, Pavel",RUS,2032
"Abramov, Pavel Ivan.",RUS,2404
"Abramov, Sergey",RUS,2132
"Abramov, Sergey",RUS,2355
"Abramov, Valentin",RUS,2333
"Abramov, Valery",RUS,2248
"Abramov, Yuri",ISR,2123
"Abramova, Marina",UKR,2097
"Abramova, Oksana",RUS,2097
"Abramova, Yulia",RUS,1999
"Abramovic, Bosko",SCG,2507
"Abramovic, Dragoljub",SCG,2146
"Abramovich, Antuan",RUS,2055
"Abrashin, Aleksey",RUS,2248
"Abrashkin, Boris",RUS,2409
"Abravanel, Chely",FRA,2327
"Abreu Cordero, Jose Leonardo",CAN,2119
"Abreu Suarez, Isauro",ESP,2137
"Abreu, Aryam",CUB,2471
"Abreu, Guilherme",BRA,2065
"Abreu, Rafael",DOM,1840
"Abril Avellanas, Eduardo",ESP,2145
"Abromaitis, Marius",LTU,2059
"Abromeit, Guenter",GER,1943
"Abroshina, I",RUS,2075
"Abrosimov, Alexandre",RUS,2310
"Abrosimov, Nikolay",RUS,2079
"Abrosimov, Vladimir",RUS,2255
"Absava, Giorgi",GEO,2205
"Absmaier, Friedrich",GER,2195
"Absoliamov, Javday",RUS,1979
"Abstengo, William Rodriguez",CUB,2046
"Abt, Alfred",GER,1800
"Abu Alsoud, Ghassan",JOR,2047
"Abu Nabhan, Loai",JOR,2005
"Abu Sarhan, Attia",JOR,2093
"Abu Sufian, Shakil",BAN,2278
"Abu-Aita, Mohamed",GER,2097
"Abu-Hazeem, M.",JOR,2037
"Abu-Holayqah, Essa",QAT,2050
"Abubakar, Nurdin",INA,2167
"Abubekerov, Oleg",RUS,2243
"Abuhijlah, N.",JOR,2035
"Abuin Bullon, Manuel",ESP,2156
"Abul, Kashem",BAN,1886
"Abulhul, Tarik",LBA,2055
"Aburto, Horacio",MEX,1778
"Abusdal, Ivar A.",NOR,1990
"Abzalov, Ivan",RUS,2127
"Abzhirko, Nikolay",RUS,2057
"Ac, Alexander",SVK,2081
"Ac, Michal",SVK,2242
"Acar, Gizem",TUR,1938
"Acar, Ozgur",TUR,2069
"Acarbay, Algi",TUR,1883
"Accadebled, David",FRA,1937
"Accardo, Francesco",ITA,2072
"Accatatto Martin, Nicola",ESP,2011
"Accattato Martin, Mario",ESP,2089
"Accensi Estrada, Miguel Angel",ESP,2154
"Acco, David",FRA,1957
"Accouri, Pascal",FRA,1998
"Acebal Muniz, Antonio",ESP,2205
"Acebal, J. Maria",ESP,2340
"Aceto, Lorenzo",ITA,2054
"Acevedo, Armando",MEX,2235
"Acevedo, Cristian",CHI,2169
"Acevedo, Guillermo",NCA,2051
"Acevedo, Hilda",MEX,2070
"Acevedo, Salmir",ESA,2100
"Acevedo, Victor",PAR,2081
"Acha, Jaime",CHI,2025
"Achang, Andrei",RUS,2210
"Acharya, Chandragupta K.",IND,2267
"Achenbach, Manfred",GER,2154
"Achenbach, Volker",GER,2165
"Acher, Mathieu",FRA,2354
"Achereiner, Guillaume",FRA,1949
"Achig, Jose",ECU,1919
"Achilova, Saodat",TKM,1928
"Achilova, Zumrat",TKM,2014
"Achirei, Daniel Laurentiu",ROM,2014
"Achleitner, Robert",AUT,2063
"Acholonu, Gregory",USA,2253
"Achour, Faouzi",FRA,2076
"Achs, Reinhold",AUT,2156
"Achtergaele, Koen",BEL,2162
"Achutti, Andre",BRA,2091
"Acic, Sladjana",SCG,2005
"Acimovic, Svetozar",SCG,2354
"Ackerman, Ernest",SVK,2188
"Ackermann, D.",GER,2099
"Ackermann, Dieter",GER,1987
"Ackermann, Frank",GER,2078
"Ackermann, Hans-Werner",GER,2358
"Ackermann, Hermann",GER,1962
"Ackermann, Robert",GER,2021
"Ackermann, Robert",LUX,2069
"Ackermann, Roland",SUI,2280
"Acketa, Tihomir",SCG,2051
"Acksteiner, Heinz",GER,2012
"Acor, Corey B",USA,2243
"Acosta Alayon, David",ESP,1907
"Acosta Garcia, Alfonso Carlos",ESP,2301
"Acosta, Alejandro",COL,2304
"Acosta, Alejandro",MEX,2215
"Acosta, Mariano",USA,2108
"Acosta, Tomas",ARG,2275
"Acquart, Alexis",FRA,1953
"Acquart, Laurent",FRA,2066
"Acs, Gabor",HUN,2231
"Acs, Peter",HUN,2518
"Acuna Celada, Ivan",ESP,2133
"Acuna Torrescusa, Carlos",ESP,1885
"Acuna, Adolfo",CHI,2044
"Acuner, Emrah",TUR,1891
"Acunzo, Domenico",ITA,1776
"Aczel, Gergely",HUN,2149
"Ada, Baryalai",CAN,2225
"Adahl, Mattias",SWE,2122
"Adair, Danny",NZL,2007
"Adair, Robin",GER,2103
"Adajkin, Andrey",RUS,2045
"Adam, A",KEN,2205
"Adam, Andrea",ROM,1885
"Adam, Attila",ROM,2032
"Adam, Detlef",GER,2074
"Adam, Earle",RSA,1908
"Adam, Etienne",FRA,2072
"Adam, Fabrice",FRA,2118
"Adam, Gunther",AUT,2057
"Adam, Gyorgy",HUN,2033
"Adam, Gyorgy",HUN,2181
"Adam, Miroslav",SLO,2142
"Adam, Olga",HUN,2021
"Adam, Oliver",GER,2067
"Adam, Petr",CZE,2153
"Adam, Valerian",CAN,2308
"Adam, Wilfried",GER,2000
"Adam, Zoltan",HUN,2036
"Adamanova, L",RUS,2065
"Adamcik, Martin",CZE,2170
"Adamcik, Tomas",SVK,2020
"Adamec, Antonin",CZE,2177
"Adamek, Frantisek",CZE,2116
"Adamek, Jiri",CZE,2215
"Adamek, Petr",CZE,2130
"Adamek, Zdenek",CZE,2150
"Adamidis, Alexander",AUT,2135
"Adamko, Peter",SVK,2156
"Adamkova, Stepanka",CZE,2053
"Adamkowicz, Zdzislaw",POL,2000
"Adamo, Luigi",ITA,2048
"Adamopoulos, Ioannis",GRE,2108
"Adamov, Andrey",RUS,2340
"Adamova, Ekaterina",RUS,2019
"Adamovic, Nenad",SCG,2242
"Adamovic, Strahinja",SCG,1996
"Adamowicz, Katarzyna",POL,1886
"Adamowski, Jan",POL,2047
"Adams, David",ENG,2240
"Adams, James Bernard",ENG,2300
"Adams, Mark",WLS,2003
"Adams, Michael",ENG,2707
"Adams, Nick A.",USA,2212
"Adams, Phil",ENG,2152
"Adamski, Andrzej",POL,2273
"Adamski, Jan",POL,2345
"Adamski, Michal",POL,2220
"Adamson, Garry",RUS,2127
"Adamson, Konstantin",RUS,2220
"Adamson, Robby",USA,2346
"Adan Bermudez, Sergio",ESP,1908
"Adarov, Arzhan",RUS,2199
"Adasiak, Leszek",POL,2015
"Adasme Fredes, Mauricio",CHI,1954
"Adda, Olivier",FRA,2111
"Addison, Bret",ENG,2241
"Addison, Wiliam G",USA,2490
"Adeishvili, Nino",GEO,1977
"Adel, Hyssam",EGY,2016
"Adell Corts, Francisco",ESP,2213
"Adelman, Charles D",USA,2268
"Ademi, Sami",SCG,2249
"Ademovic, Bozidar",SCG,2101
"Ader, Walter",CHI,2270
"Aderito, Pedro",ANG,2288
"Adhami, Hesham",PLE,2031
"Adhami, Vangjel",ALB,2272
"Adharsh.P.Niswanth,",IND,1732
"Adhiban, B.",IND,2183
"Adianto, Utut",INA,2589
"Adib, Santiago",URU,2081
"Adibekian, Roubik Dr.",GER,2206
"Adilson, Mazzini",BRA,2146
"Adinez, Andrey",RUS,2267
"Adinolfi, Vincenzo",ITA,2096
