Player,Country,Rating
"A La, Teng Hua",CHN,1915
"A. Akshaya,",IND,1847
"A.K. Kalshyan,",IND,1979
"Aab, Manfred",GER,1846
"Aaberg, Anton",SWE,2388
"Aabling-Thomsen, Jakob",DEN,2275
"Aagaard, Gert",DEN,2028
"Aagaard, Jacob",SCO,2533
"Aagaard, Kasper",DEN,1913
"Aagaard, Michael",NED,2003
"Aage, Bjarke",DEN,2068
"Aagedal, Geir Ole",NOR,1839
"Aakio, Seppo",FIN,2132
"Aalbersberg Kroon, Pedro",ESP,2048
"Aalders, Hendricus",ESP,2021
"Aaltio, Erkki",FIN,2111
"Aandal, Kristian",NOR,2040
"Aanstad, Magnus",NOR,2060
"Aarland, Stein Arild",NOR,2311
"Aaron, Deepak",USA,2030
"Aaron, Manuel",IND,2315
"Aarons, Poppy J",ENG,1862
"Aarthi, Lakhsmi E.K.A.",IND,1953
"Aarts, Rob",NED,2036
"Aaskov, Jorgen",DEN,2199
"Aasum, Anker",NOR,1896
"Aathayam, V,",IND,1936
"Aatirah C P,",IND,1866
"Aatirah.C.P,",IND,1927
"Ababneh, Faisal",JOR,1953
"Ababneh, Ghayth",JOR,2047
"Ababou, Nessim",FRA,2063
"Abad Sanmartin, Jorge",ESP,2063
"Abad Vinas, Jesus Manuel",ESP,1913
"Abadia Pascual, Luis",ESP,1978
"Abadie Romero, Jonathan",ECU,2012
"Abaev, Viktor",RUS,2066
"Abakarov, Alexander",UKR,2187
"Abal Cores, Christian",ESP,1539
"Abalde Fernandez, Esteban",ESP,2078
"Abalovich, Leonid",ISR,1808
"Aban, Elbio",ARG,2250
"Abandah, Jamal",JOR,2052
"Abang, Mohd Reduan",MAS,2136
"Abarca del Rio, Francisco",FRA,2140
"Abarca, Diego",PER,2141
"Abascal Vicente, Ignacio",ESP,1912
"Abasheev, Denis",RUS,2442
"Abashev, Alex",RUS,2229
"Abasov, Nijat Azad",AZE,2380
"Abasov, Yasar",AZE,2062
"Abate, Tomas",ARG,1608
"Abatino, Maurizio",ITA,2168
"Abaturov, Alexander",RUS,2340
"Abatzidis, Stelios",CYP,2036
"Abay, Gokhan",TUR,2075
"Abayasekera, Roger F T",ENG,2208
"Abaza, Ivan",CRO,2081
"Abazi, Sahit",SUI,1898
"Abbadessa, Giovanni",ITA,1769
"Abbas, Ali",BRN,2009
"Abbas, B H",IRQ,2187
"Abbasi, Meisam",IRI,2010
"Abbasi, Nasser M.",USA,2305
"Abbasi, Rasool",IRI,2207
"Abbasifar, Hasan",IRI,2369
"Abbasov, Aris",AZE,2060
"Abbasov, Farid",AZE,2519
"Abbasov, Orudj",RUS,1720
"Abbasova, Aiguioun",AZE,2170
"Abbaszade, Arzu",AZE,1971
"Abbet, Jean-Luc",SUI,2064
"Abbey, Anate",FRA,1681
"Abbink, Michel",NED,2259
"Abbou, Meriem",ALG,2005
"Abbura`, Davide",ITA,1697
"Abcouwer, Jan-Bart",NED,2226
"Abd El Fatah, Reda Fadel",EGY,2176
"Abd Rahman, Syazrin",MAS,1519
"Abd-Mariam, John N T",ENG,2160
"Abdagic, Edib",DEN,1987
"Abdala, Jorge",BOL,2041
"Abdalla Jr, Chead",BRA,1896
"Abdalla, Jose Lucas",BRA,1941
"Abdalla, Luiz Guilherme Aurelli",BRA,2018
"Abdallah, Ahmed",EGY,2020
"Abdallah, Feras",JOR,2052
"Abdallah, Mohamed",EGY,2115
"Abdein, Ahmed",EGY,2129
"Abdein, Saiied",EGY,2097
"Abdel Aziem, Ramadan",EGY,2296
"Abdel Aziz, Ahmed",EGY,2136
"Abdel Aziz, Ahmedd",EGY,2130
"Abdel Aziz, Ehab",EGY,2175
"Abdel Aziz, Mahmoud",EGY,2063
"Abdel Aziz, Shebab",EGY,2118
"Abdel Elah, Ahmed",EGY,2179
"Abdel Fadil, Mohamed",EGY,2259
"Abdel Fatah, Emad",EGY,2078
"Abdel Fatah, Mohamed",EGY,2167
"Abdel Fatah, Reda",EGY,2149
"Abdel Fattah, Mansour",EGY,2043
"Abdel Gawad, Salah",EGY,1997
"Abdel Ghany, Adel",EGY,2174
"Abdel Hafeiz, Ayman",EGY,2014
"Abdel Hai, Hany",EGY,2168
"Abdel Hamid, Gamal",EGY,2034
"Abdel Maabod, Gamal",EGY,2122
"Abdel Megid, Mostafa",EGY,2340
"Abdel Moneim, Mahmoud",EGY,2062
"Abdel Moneim, Sameir",EGY,2067
"Abdel Monem, Salah",EGY,2172
"Abdel Moniem, Mohamed",EGY,2161
"Abdel Rabb, Raouf",YEM,1994
"Abdel Rahim, Mohamed",UAE,2053
"Abdel Rahman, Alla",EGY,2175
"Abdel Razik, Ahmed",EGY,2127
"Abdel Razik, Khaled",EGY,2396
"Abdel Samee, Mohamed",EGY,2298
"Abdel Sattar, Magdy",EGY,2050
"Abdel Shafy, Mahmoud",EGY,2092
"Abdel Wahab, Ahmad",PLE,1926
"Abdel Wahab, Elkhatem",SUD,2161
"Abdel Wahab, Ismail",EGY,2151
"Abdel Wahed, Mohamed",EGY,2021
"Abdel Wahed, Tarek",EGY,2100
"Abdel Zaher, Elsaiid",EGY,2040
"Abdelatief, Abdelhakiem",ITA,1947
"Abdeldjebar, Tayeb",ALG,2110
"Abdelnabbi, Imed",EGY,2456
"Abdelrahman, A.K.",EGY,2173
"Abdi, Houcine",FRA,1781
"Abdi, Tahireh",IRI,2090
"Abdic, Adnan",BIH,2152
"Abdikasova, Panno",KAZ,2060
"Abdil, Halil",BIH,2319
"Abdo, Antuan",LIB,1962
"Abdo, Luis",PAR,2019
"Abdol Raheim, Emad",SUD,2205
"Abdollah Zadeh, Arash",IRI,2097
"Abdolmaleki, Mahmoud",IRI,2202
"Abdolmaleki, Shahram",IRI,2161
"Abdou, Mohamed Hamdy",EGY,2106
"Abdrakhmanov, Ramiss",RUS,1967
"Abdrakhmanova, Diana",RUS,2011
"Abdrakhmanova, Sara",RUS,1987
"Abdukadurova, Mekhri",TKM,2151
"Abdul Adhim, Muneer",IRQ,2188
"Abdul Ghafour, Zayed",QAT,2052
"Abdul Ghani, Hayder",IRQ,2199
"Abdul Jabbar, A.",IRQ,2149
"Abdul Kadir, M.",PLE,1978
"Abdul Kareem, Hassan",UAE,2169
"Abdul Karim, Al-Audari",YEM,2190
"Abdul Majeed, N.",IND,2169
"Abdul Minim, Al Sayed",SUD,2085
"Abdul Moula, Sabri",YEM,2168
"Abdul Rahim, A S",IND,1695
